yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2021-04-11,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-04-18,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-04-25,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-05-02,10.0,80.8,11.89,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-05-09,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-05-16,3.0,60.3,24.38,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-05-23,6.0,73.92,10.06,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-05-30,4.0,63.1,18.4,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-06-06,24.0,69.6,21.83,0.25,1095,P1,P103,P103054,칙촉,종로영업소
2021-06-13,20.0,70.83,14.03,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-06-20,14.53,76.06,12.59,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-06-27,11.5,69.78,20.77,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-07-04,21.07,70.81,18.56,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2021-07-11,50.27,78.61,14.67,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2021-07-18,12.0,71.92,20.32,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2021-07-25,28.0,63.59,24.43,0.1,1095,P1,P103,P103054,칙촉,종로영업소
2021-08-01,20.0,62.81,20.24,0.16,1095,P1,P103,P103054,칙촉,종로영업소
2021-08-08,82.83,71.37,17.48,0.12,1095,P1,P103,P103054,칙촉,종로영업소
2021-08-15,97.0,66.21,18.91,0.16,1095,P1,P103,P103054,칙촉,종로영업소
2021-08-22,67.25,65.72,18.27,0.15,1095,P1,P103,P103054,칙촉,종로영업소
2021-08-29,36.0,88.05,5.51,0.15,1095,P1,P103,P103054,칙촉,종로영업소
2021-09-05,103.5,74.11,13.62,0.16,1095,P1,P103,P103054,칙촉,종로영업소
2021-09-12,63.43,80.02,12.68,0.17,1095,P1,P103,P103054,칙촉,종로영업소
2021-09-19,62.33,62.32,19.8,0.15,1095,P1,P103,P103054,칙촉,종로영업소
