yymmdd,qty,SP1,브랜드
2021-10-24,32.53125,종로영업소,말랑카우
2021-10-31,191.5,종로영업소,말랑카우
2021-11-07,176.625,종로영업소,말랑카우
2021-11-14,67.125,종로영업소,말랑카우
2021-11-21,71.375,종로영업소,말랑카우
2021-11-28,38.3125,종로영업소,말랑카우
2021-12-05,135.75,종로영업소,말랑카우
2021-12-12,152.75,종로영업소,말랑카우
2021-12-19,135.125,종로영업소,말랑카우
2021-12-26,76.3125,종로영업소,말랑카우
2022-01-02,61.09375,종로영업소,말랑카우
2022-01-09,195.75,종로영업소,말랑카우
2022-01-16,44.625,종로영업소,말랑카우
2022-01-23,52.1875,종로영업소,말랑카우
2022-01-30,33.6875,종로영업소,말랑카우
2022-02-06,22.5,종로영업소,말랑카우
2022-02-13,80.8125,종로영업소,말랑카우
2022-02-20,157.375,종로영업소,말랑카우
2022-02-27,36.65625,종로영업소,말랑카우
2022-03-06,66.1875,종로영업소,말랑카우
2022-03-13,71.25,종로영업소,말랑카우
2022-03-20,39.5,종로영업소,말랑카우
2022-03-27,37.125,종로영업소,말랑카우
2022-04-03,32.09375,종로영업소,말랑카우
2022-04-10,39.34375,종로영업소,말랑카우
2022-04-17,39.9375,종로영업소,말랑카우
2022-04-24,43.1875,종로영업소,말랑카우
2022-05-01,54.09375,종로영업소,말랑카우
2022-05-08,44.25,종로영업소,말랑카우
2022-05-15,55.625,종로영업소,말랑카우
2022-05-22,82.8125,종로영업소,말랑카우
2022-05-29,32.40625,종로영업소,말랑카우
2022-06-05,37.75,종로영업소,말랑카우
2022-06-12,63.0,종로영업소,말랑카우
2022-06-19,66.625,종로영업소,말랑카우
2022-06-26,50.0,종로영업소,말랑카우
2022-07-03,61.28125,종로영업소,말랑카우
2022-07-10,51.75,종로영업소,말랑카우
2022-07-17,50.09375,종로영업소,말랑카우
2022-07-24,34.0,종로영업소,말랑카우
2022-07-31,79.75,종로영업소,말랑카우
2022-08-07,83.5625,종로영업소,말랑카우
2022-08-14,31.046875,종로영업소,말랑카우
2022-08-21,81.6875,종로영업소,말랑카우
2022-08-28,36.15625,종로영업소,말랑카우
2022-09-04,139.5,종로영업소,말랑카우
