y,ds,str_cd,prod_cd
8,2020-08-15,110438,46145000
11,2020-08-16,110438,46145000
11,2020-08-17,110438,46145000
8,2020-08-18,110438,46145000
14,2020-08-19,110438,46145000
5,2020-08-20,110438,46145000
12,2020-08-21,110438,46145000
8,2020-08-22,110438,46145000
13,2020-08-24,110438,46145000
7,2020-08-25,110438,46145000
19,2020-08-26,110438,46145000
7,2020-08-27,110438,46145000
9,2020-08-28,110438,46145000
10,2020-08-29,110438,46145000
10,2020-08-30,110438,46145000
10,2020-08-31,110438,46145000
13,2020-09-01,110438,46145000
12,2020-09-02,110438,46145000
9,2020-09-03,110438,46145000
9,2020-09-04,110438,46145000
17,2020-09-05,110438,46145000
6,2020-09-06,110438,46145000
15,2020-09-07,110438,46145000
0,2020-09-08,110438,46145000
0,2020-09-09,110438,46145000
0,2020-09-10,110438,46145000
0,2020-09-11,110438,46145000
7,2020-09-12,110438,46145000
0,2020-09-14,110438,46145000
0,2020-09-15,110438,46145000
0,2020-09-16,110438,46145000
0,2020-09-17,110438,46145000
0,2020-09-18,110438,46145000
0,2020-09-19,110438,46145000
0,2020-09-20,110438,46145000
0,2020-09-21,110438,46145000
0,2020-09-22,110438,46145000
0,2020-09-23,110438,46145000
0,2020-09-24,110438,46145000
0,2020-09-25,110438,46145000
0,2020-09-26,110438,46145000
0,2020-09-28,110438,46145000
0,2020-09-29,110438,46145000
0,2020-09-30,110438,46145000
0,2020-10-01,110438,46145000
0,2020-10-02,110438,46145000
0,2020-10-03,110438,46145000
0,2020-10-04,110438,46145000
0,2020-10-05,110438,46145000
0,2020-10-06,110438,46145000
0,2020-10-07,110438,46145000
0,2020-10-08,110438,46145000
0,2020-10-09,110438,46145000
0,2020-10-10,110438,46145000
0,2020-10-12,110438,46145000
0,2020-10-13,110438,46145000
0,2020-10-14,110438,46145000
0,2020-10-15,110438,46145000
0,2020-10-16,110438,46145000
0,2020-10-17,110438,46145000
0,2020-10-18,110438,46145000
0,2020-10-19,110438,46145000
0,2020-10-20,110438,46145000
0,2020-10-21,110438,46145000
0,2020-10-22,110438,46145000
0,2020-10-23,110438,46145000
0,2020-10-24,110438,46145000
0,2020-10-26,110438,46145000
0,2020-10-27,110438,46145000
0,2020-10-28,110438,46145000
0,2020-10-29,110438,46145000
0,2020-10-30,110438,46145000
0,2020-10-31,110438,46145000
0,2020-11-01,110438,46145000
0,2020-11-02,110438,46145000
0,2020-11-03,110438,46145000
0,2020-11-04,110438,46145000
0,2020-11-05,110438,46145000
0,2020-11-06,110438,46145000
0,2020-11-07,110438,46145000
0,2020-11-09,110438,46145000
0,2020-11-10,110438,46145000
0,2020-11-11,110438,46145000
0,2020-11-12,110438,46145000
0,2020-11-13,110438,46145000
0,2020-11-14,110438,46145000
0,2020-11-15,110438,46145000
0,2020-11-16,110438,46145000
0,2020-11-17,110438,46145000
0,2020-11-18,110438,46145000
0,2020-11-19,110438,46145000
0,2020-11-20,110438,46145000
0,2020-11-21,110438,46145000
0,2020-11-23,110438,46145000
0,2020-11-24,110438,46145000
0,2020-11-25,110438,46145000
0,2020-11-26,110438,46145000
0,2020-11-27,110438,46145000
0,2020-11-28,110438,46145000
0,2020-11-29,110438,46145000
0,2020-11-30,110438,46145000
0,2020-12-01,110438,46145000
0,2020-12-02,110438,46145000
0,2020-12-03,110438,46145000
0,2020-12-04,110438,46145000
0,2020-12-05,110438,46145000
0,2020-12-06,110438,46145000
0,2020-12-07,110438,46145000
0,2020-12-08,110438,46145000
0,2020-12-09,110438,46145000
0,2020-12-10,110438,46145000
0,2020-12-11,110438,46145000
0,2020-12-12,110438,46145000
0,2020-12-14,110438,46145000
0,2020-12-15,110438,46145000
0,2020-12-16,110438,46145000
0,2020-12-17,110438,46145000
2,2020-12-18,110438,46145000
5,2020-12-19,110438,46145000
0,2020-12-20,110438,46145000
0,2020-12-21,110438,46145000
0,2020-12-22,110438,46145000
0,2020-12-23,110438,46145000
0,2020-12-24,110438,46145000
0,2020-12-25,110438,46145000
0,2020-12-26,110438,46145000
0,2020-12-28,110438,46145000
0,2020-12-29,110438,46145000
0,2020-12-30,110438,46145000
0,2020-12-31,110438,46145000
0,2021-01-01,110438,46145000
0,2021-01-02,110438,46145000
0,2021-01-03,110438,46145000
0,2021-01-04,110438,46145000
0,2021-01-05,110438,46145000
0,2021-01-06,110438,46145000
0,2021-01-07,110438,46145000
0,2021-01-08,110438,46145000
0,2021-01-09,110438,46145000
0,2021-01-11,110438,46145000
0,2021-01-12,110438,46145000
0,2021-01-13,110438,46145000
0,2021-01-14,110438,46145000
0,2021-01-15,110438,46145000
0,2021-01-16,110438,46145000
0,2021-01-17,110438,46145000
0,2021-01-18,110438,46145000
0,2021-01-19,110438,46145000
0,2021-01-20,110438,46145000
0,2021-01-21,110438,46145000
0,2021-01-22,110438,46145000
0,2021-01-23,110438,46145000
0,2021-01-25,110438,46145000
0,2021-01-26,110438,46145000
0,2021-01-27,110438,46145000
0,2021-01-28,110438,46145000
0,2021-01-29,110438,46145000
0,2021-01-30,110438,46145000
0,2021-01-31,110438,46145000
0,2021-02-01,110438,46145000
0,2021-02-02,110438,46145000
0,2021-02-03,110438,46145000
0,2021-02-04,110438,46145000
0,2021-02-05,110438,46145000
0,2021-02-06,110438,46145000
0,2021-02-07,110438,46145000
0,2021-02-08,110438,46145000
0,2021-02-09,110438,46145000
0,2021-02-10,110438,46145000
0,2021-02-11,110438,46145000
0,2021-02-12,110438,46145000
0,2021-02-13,110438,46145000
0,2021-02-15,110438,46145000
0,2021-02-16,110438,46145000
0,2021-02-17,110438,46145000
0,2021-02-18,110438,46145000
0,2021-02-19,110438,46145000
0,2021-02-20,110438,46145000
0,2021-02-21,110438,46145000
0,2021-02-22,110438,46145000
0,2021-02-23,110438,46145000
0,2021-02-24,110438,46145000
0,2021-02-25,110438,46145000
0,2021-02-26,110438,46145000
0,2021-02-27,110438,46145000
0,2021-03-01,110438,46145000
0,2021-03-02,110438,46145000
0,2021-03-03,110438,46145000
0,2021-03-04,110438,46145000
0,2021-03-05,110438,46145000
0,2021-03-06,110438,46145000
0,2021-03-07,110438,46145000
0,2021-03-08,110438,46145000
0,2021-03-09,110438,46145000
0,2021-03-10,110438,46145000
0,2021-03-11,110438,46145000
0,2021-03-12,110438,46145000
0,2021-03-13,110438,46145000
0,2021-03-15,110438,46145000
0,2021-03-16,110438,46145000
0,2021-03-17,110438,46145000
0,2021-03-18,110438,46145000
0,2021-03-19,110438,46145000
0,2021-03-20,110438,46145000
0,2021-03-21,110438,46145000
0,2021-03-22,110438,46145000
0,2021-03-23,110438,46145000
0,2019-01-01,110438,1094467000
3,2019-01-02,110438,1094467000
0,2019-01-03,110438,1094467000
1,2019-01-04,110438,1094467000
1,2019-01-05,110438,1094467000
2,2019-01-06,110438,1094467000
1,2019-01-07,110438,1094467000
2,2019-01-08,110438,1094467000
0,2019-01-09,110438,1094467000
0,2019-01-10,110438,1094467000
0,2019-01-11,110438,1094467000
0,2019-01-12,110438,1094467000
1,2019-01-14,110438,1094467000
0,2019-01-15,110438,1094467000
0,2019-01-16,110438,1094467000
0,2019-01-17,110438,1094467000
0,2019-01-18,110438,1094467000
0,2019-01-19,110438,1094467000
0,2019-01-20,110438,1094467000
0,2019-01-21,110438,1094467000
0,2019-01-22,110438,1094467000
1,2019-01-23,110438,1094467000
0,2019-01-24,110438,1094467000
1,2019-01-25,110438,1094467000
2,2019-01-26,110438,1094467000
1,2019-01-28,110438,1094467000
1,2019-01-29,110438,1094467000
1,2019-01-30,110438,1094467000
0,2019-01-31,110438,1094467000
0,2019-02-01,110438,1094467000
2,2019-02-02,110438,1094467000
1,2019-02-03,110438,1094467000
5,2019-02-04,110438,1094467000
0,2019-02-05,110438,1094467000
1,2019-02-06,110438,1094467000
0,2019-02-07,110438,1094467000
0,2019-02-08,110438,1094467000
1,2019-02-09,110438,1094467000
0,2019-02-11,110438,1094467000
0,2019-02-12,110438,1094467000
0,2019-02-13,110438,1094467000
0,2019-02-14,110438,1094467000
0,2019-02-15,110438,1094467000
0,2019-02-16,110438,1094467000
0,2019-02-17,110438,1094467000
0,2019-02-18,110438,1094467000
0,2019-02-19,110438,1094467000
0,2019-02-20,110438,1094467000
0,2019-02-21,110438,1094467000
0,2019-02-22,110438,1094467000
0,2019-02-23,110438,1094467000
1,2019-02-25,110438,1094467000
1,2019-02-26,110438,1094467000
0,2019-02-27,110438,1094467000
0,2019-02-28,110438,1094467000
0,2019-03-01,110438,1094467000
0,2019-03-02,110438,1094467000
0,2019-03-03,110438,1094467000
1,2019-03-04,110438,1094467000
0,2019-03-05,110438,1094467000
0,2019-03-06,110438,1094467000
0,2019-03-07,110438,1094467000
0,2019-03-08,110438,1094467000
0,2019-03-09,110438,1094467000
0,2019-03-11,110438,1094467000
0,2019-03-12,110438,1094467000
0,2019-03-13,110438,1094467000
0,2019-03-14,110438,1094467000
0,2019-03-15,110438,1094467000
0,2019-03-16,110438,1094467000
0,2019-03-17,110438,1094467000
0,2019-03-18,110438,1094467000
0,2019-03-19,110438,1094467000
0,2019-03-20,110438,1094467000
0,2019-03-21,110438,1094467000
0,2019-03-22,110438,1094467000
0,2019-03-23,110438,1094467000
0,2019-03-25,110438,1094467000
0,2019-03-26,110438,1094467000
3,2019-03-27,110438,1094467000
0,2019-03-28,110438,1094467000
1,2019-03-29,110438,1094467000
2,2019-03-30,110438,1094467000
0,2019-03-31,110438,1094467000
0,2019-04-01,110438,1094467000
0,2019-04-02,110438,1094467000
0,2019-04-03,110438,1094467000
0,2019-04-04,110438,1094467000
0,2019-04-05,110438,1094467000
0,2019-04-06,110438,1094467000
0,2019-04-07,110438,1094467000
0,2019-04-08,110438,1094467000
0,2019-04-09,110438,1094467000
0,2019-04-10,110438,1094467000
1,2019-04-11,110438,1094467000
0,2019-04-12,110438,1094467000
0,2019-04-13,110438,1094467000
0,2019-04-15,110438,1094467000
0,2019-04-16,110438,1094467000
0,2019-04-17,110438,1094467000
2,2019-04-18,110438,1094467000
1,2019-04-19,110438,1094467000
0,2019-04-20,110438,1094467000
